FirstName,LastName,Gender,Email
,Majsoft Blabla,,szelest88@gmail.com
,Advox,,m.chmielewska@advox.pl
,eEngine,,hello@eengine.co
,VM Software,,mariusz.mrowiec@vm.pl
,JAVEO,,poland@softwarehut.com
,GT,,team@gt-hq.com
,ITDS,,info@itds.pl
,Liki,,hr@likims.com
,Move Closer,,office@movecloser.co
,ClearMedia Software House,,contact@clearmedia.pl
,ADHDEV,,office@adhdev.co
,Aetsoft,,contact@aetsoft.net
,Appliscale,,info@appliscale.io
,Avra Software,,biuro@avra.pl
,Awakast,,info@awakast.com
,BitBag,,hello@bitbag.io
,Cloudity,,contact@cloudity.pl
,Codahead,,hi@codahead.com
,Droptica,,info@droptica.com
,FNX Group,,biuro@fnx-group.com
,ISOLUTION,,hello@isolution.pl
,j-labs,,j-labs@j-labs.pl
,Macopedia,,office@macopedia.com
,mindz,,office@mindz.it
,Mirumee,,hello@mirumee.com
,Nebucode,,contact@nebucode.com
,Neti,,slawomir.pasko@neti-soft.com
,Satisfly,,hello@satisfly.co
,Sygnisoft,,project@sygnisoft.com
,Vavatech,,biuro@vavatech.pl
,WebMakers Software House,,office@webmakers.expert
,Pirxon,,biuro@pirxon.com
