FirstName,LastName,Gender,Email
,Majsoft,,szelest88@gmail.com
,Rubyroid Labs,,hi@rubyroidlabs.com
,Appsilon,,hello@appsilon.com
,WEBSENSA,,contact@websensa.com
,Lama Media,,hello@lama-media.com
,Magnetic Point,,mklemczak@magneticpoint.com
,Meant4.com,,relations@meant4.com
,Webalize,,hello@webalize.me
,JMR,,contact@jmr.pl
,fireup.pro,,contact@fireup.pro
,ITMAGINATION,,marketing@itmagination.com
,Gorrion,,hello@gorrion.io
,Stratoflow,,adrysch@stratoflow.com
,WideFix,,call@widefix.com
,SolDevelo,,sales@soldevelo.com
,Evojam,,hello@evojam.com
,BlueSoft,,marketing@bluesoft.com
,Eyzee,,contact@eyzee.com
,Ideo Software,,contact@ideosoftware.com
,SoftwareMill,,hello@softwaremill.com
,iRonin.IT,,contact@ironin.it
,Solidstudio,,contact@solidstudio.io
,Scalac,,projects@scalac.io
